Year,Quarter,MeasurementVar,MeasurementLevel,MeasurementType,Geography,HouseholdType,Sex,Age,CharacteristicVar,Characteristic,Estimate,StandardError,UnweightedCount
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,depremp19,20% most deprived,24.97094389,1.513270065,1400
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,depremp19,Deciles 3 - 8,31.03663777,1.112401112,2748
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,educatlvl,Apprenticeship or A/AS level,30.54730916,2.21677406,722
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,educatlvl,Degree or diploma,29.8749183,1.029346901,3120
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,educatlvl,None,27.09896495,2.334872025,542
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,educatlvl,O level/GCSE,28.46715159,2.260400641,603
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,educatlvl,Other,28.62832291,4.198399623,188
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,East Midlands,37.8156217,2.824852398,498
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,East of England,28.76894476,2.256855999,570
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,England,29.8208206,0.834201295,4897
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,London,28.85564197,1.99120717,804
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,North East,27.51894888,3.898358033,264
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,North West,28.01597933,2.019717568,709
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,South East,31.89753473,2.315396714,606
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,South West,26.69409366,2.816511841,405
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,Wales,25.69039239,3.092244929,318
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,West Midlands,29.29536903,3.025348598,490
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,gor,Yorkshire and The Humber,28.83372633,2.315075214,551
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,illONS,Disability/illness ONS,26.46700595,2.147910668,681
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,incivgrp,High,26.40829148,2.959616849,374
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,incivgrp,Low,29.82603247,0.835454331,4823
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Cohabiting,29.98575149,2.175495647,564
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Divorced/Legally dissolved partnership,36.80348433,4.164871979,239
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Living as a couple,29.58849967,0.958508032,3318
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Married/civil partnered,29.50975034,1.034866192,2754
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Not living as a couple,29.80333939,1.370007531,1860
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Separated,20.18343363,3.459860641,167
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Single,29.47102665,1.569022813,1435
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,livharm1a,Widowed,35.98182622,13.47281952,19
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,nsethgrp,Asian/Asian British,28.02326613,2.081034962,721
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,nsethgrp,Black/African/Caribbean/Black British,28.34867747,2.885981765,364
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,nsethgrp,Mixed/multiple ethnic groups,28.15804581,5.437673351,108
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,nsethgrp,Other ethnic group,23.70631939,4.573901324,117
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,nsethgrp,White,30.25832721,0.925158062,3892
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Constrained city dwellers,32.97278795,2.909014686,455
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Cosmopolitans,35.05898425,3.793934467,263
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Ethnicity central,27.22277523,2.583920422,460
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Hard-pressed living,27.23363944,1.772800628,1114
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Multicultural metropolitans,27.2769633,1.898653813,950
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Rural residents,33.61258778,2.933962342,367
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Suburbanites,29.99393863,1.959981157,696
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,oa_sup11,Urbanites,30.52128398,1.913068511,910
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,pub3,Less than once a week,27.96361637,1.335218353,1693
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,pub3,None,30.17665081,1.073269238,2975
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,pub3,Once a week or more often,31.7107766,2.581241573,540
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Full-time students,20.10668202,5.712554244,69
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Intermediate occs,28.57420218,1.790903793,1024
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Managerial and professional occs,30.14582025,1.193846442,2352
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Never worked and long term unemployed,29.99867428,3.944530144,234
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Not classified,30.77735097,4.848177974,140
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,r10sec4a,Routine and manual occs,29.78901029,1.500014319,1396
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive,30.41743146,2.22248018,725
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive: long-term/temp sick/ill,29.99616944,3.85659963,257
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive: looking after family/home,31.85124879,3.14388975,336
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive: other,32.35078877,6.260479232,86
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive: retired,[x],[x],[x]
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Economically inactive: student,20.73512054,8.04031188,39
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Employed,29.5461587,0.855571328,4372
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,remploy2a,Unemployed,29.04650717,5.474002492,101
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,rural3,Rural,31.20807876,2.203182039,730
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,rural3,Urban,29.34294204,0.875325469,4485
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,sex,Female,29.78902485,1.105513989,2863
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,sex,Male,29.44108287,1.135817779,2352
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,struct4,Children,29.10050621,1.066850034,2668
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,struct4,Lone parent,27.89881087,2.288305137,563
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,struct4,No children,30.76197775,1.319422749,1984
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tenharm,Owners,30.49448814,1.037047126,2806
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tenharm,Private rented sector,28.30357039,1.522853304,1429
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tenharm,Renters,28.01082978,1.207037199,2348
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tenharm,Social rented sector,27.47227561,1.966581357,919
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,Total,Total,29.6163836,0.808348859,5215
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"10,400 -20,799",30.91829507,2.712665279,542
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"20,800 -31,199",28.5759796,2.169352158,745
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"31,200-41,599",27.31842253,2.226630474,573
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"41,600 -51,999",32.87202545,2.306915421,625
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"52,000 or more",30.11933566,1.296686024,1648
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,No income stated or not enough information provided,34.53732414,7.104124676,56
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,tothhin4,"Up to 10,399",18.68648483,3.533021629,179
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,weekday2,3-7 hours,29.6344796,1.520315441,1411
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,weekday2,7 plus hrs,29.18849263,1.157402969,2317
2024,4,catt2a,Person,Perception,England and Wales, ,All people,35-44,weekday2,Less than 3 hrs,30.20604877,1.553406963,1465
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,Detached house,31.60336318,1.750219723,929
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,Flats/maisonettes,27.79449088,2.359725435,671
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,House,29.85844963,0.948761117,3802
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,Other accommodation,[x],[x],[x]
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,Semi-detached house,30.15976692,1.589504908,1405
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,accharm3,Terraced house,28.09560067,1.557637649,1468
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,agegrp7,45-54,29.63361963,0.887913307,4485
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,clubno,1-3 times,36.04383748,5.57136938,116
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,clubno,4+ times,44.08425981,14.75649939,18
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,clubno,None,29.42744925,0.895294522,4350
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,depremp19,20% least deprived,34.30734135,2.157353225,729
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,depremp19,20% most deprived,24.43319095,1.844590945,1062
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,depremp19,Deciles 3 - 8,30.15841325,1.176561053,2361
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,educatlvl,Apprenticeship or A/AS level,29.33246557,2.244425725,634
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,educatlvl,Degree or diploma,28.61653607,1.155037504,2467
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,educatlvl,None,30.67099584,2.978676294,449
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,educatlvl,O level/GCSE,31.52870514,2.334163201,703
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,educatlvl,Other,31.53041367,4.12783981,194
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,East Midlands,40.03638077,3.101723204,420
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,East of England,29.92997602,2.720943876,498
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,England,29.98149325,0.925173582,4152
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,London,27.27261281,2.202424473,633
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,North East,31.81484632,4.36107741,210
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,North West,29.42406768,2.623965404,589
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,South East,29.72507572,2.544554756,562
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,South West,30.33736142,2.766415665,374
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,Wales,24.31319489,2.963138016,333
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,West Midlands,24.81333724,2.634926037,419
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,gor,Yorkshire and The Humber,30.39688676,2.752435392,447
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,illONS,Disability/illness ONS,28.55658206,2.057064901,841
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,incivgrp,High,26.21333954,3.568609472,284
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,incivgrp,Low,29.82726439,0.917529015,4192
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Cohabiting,27.37583092,2.644483507,398
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Divorced/Legally dissolved partnership,31.21687923,3.098597271,423
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Living as a couple,29.87238508,1.059975209,2686
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Married/civil partnered,30.27990795,1.157053474,2288
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Not living as a couple,28.5738033,1.401971118,1746
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Separated,30.6942773,4.502153455,162
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Single,27.08325026,1.715658265,1103
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,livharm1a,Widowed,31.21803638,7.81286193,58
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,nsethgrp,Asian/Asian British,23.05187456,2.262518576,473
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,nsethgrp,Black/African/Caribbean/Black British,29.47686053,3.472890475,264
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,nsethgrp,Mixed/multiple ethnic groups,21.92695906,6.197024796,77
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,nsethgrp,Other ethnic group,25.49557015,5.766830033,75
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,nsethgrp,White,30.84997163,0.991909498,3587
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Constrained city dwellers,25.01385824,3.0191969,373
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Cosmopolitans,32.71836388,4.48492834,178
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Ethnicity central,21.70240602,2.606940691,317
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Hard-pressed living,27.9738146,2.003648153,924
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Multicultural metropolitans,28.50948741,2.199967835,658
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Rural residents,34.28996101,2.602800938,462
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Suburbanites,31.99080486,2.114155702,770
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,oa_sup11,Urbanites,30.37673653,2.10092099,803
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,pub3,Less than once a week,30.90127774,1.530699515,1510
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,pub3,None,28.31995187,1.214437979,2347
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,pub3,Once a week or more often,31.27343275,2.325817752,625
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Full-time students,22.63023788,7.614750493,37
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Intermediate occs,30.70623877,1.906505059,968
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Managerial and professional occs,29.89844302,1.335459679,1949
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Never worked and long term unemployed,22.36636637,4.283182179,146
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Not classified,33.43391053,6.599190608,98
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,r10sec4a,Routine and manual occs,28.79154608,1.635847228,1287
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive,26.46023068,2.238123354,714
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive: long-term/temp sick/ill,24.46430642,3.189582944,399
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive: looking after family/home,32.45133464,4.55757536,174
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive: other,24.1084774,5.19885694,77
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive: retired,22.29626807,6.773642849,46
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Economically inactive: student,18.26762909,9.82359837,18
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Employed,30.01922142,0.967751898,3709
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,remploy2a,Unemployed,32.03740412,9.230823203,47
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,rural3,Rural,33.06288324,2.140660964,782
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,rural3,Urban,28.82234767,0.967114148,3703
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,sex,Female,30.45400314,1.221240503,2399
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,sex,Male,28.78696559,1.288354699,2086
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,struct4,Children,27.13640109,1.408175453,1307
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,struct4,Lone parent,29.45011256,3.359910949,241
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,struct4,No children,30.96889713,1.110069666,2937
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tenharm,Owners,29.9231999,1.073196706,2854
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tenharm,Private rented sector,31.10696898,2.189297256,797
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tenharm,Renters,28.46058038,1.574672427,1590
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tenharm,Social rented sector,25.51018611,2.147441797,793
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,Total,Total,29.63361963,0.887913307,4485
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"10,400 -20,799",32.00704576,2.885521789,465
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"20,800 -31,199",30.7197318,2.514872994,596
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"31,200-41,599",29.78422029,2.932500937,460
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"41,600 -51,999",28.2380959,2.648294591,472
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"52,000 or more",29.59772909,1.40019531,1489
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,No income stated or not enough information provided,40.84889781,9.53826153,46
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,tothhin4,"Up to 10,399",29.59914136,4.430442398,180
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,weekday2,3-7 hours,31.28887345,1.756743534,1169
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,weekday2,7 plus hrs,30.05495771,1.33118945,1977
2024,4,catt2a,Person,Perception,England and Wales, ,All people,45-54,weekday2,Less than 3 hrs,27.15100152,1.546357742,1322
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,Detached house,34.09607706,1.532930891,1386
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,Flats/maisonettes,27.21249035,2.089955375,734
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,House,31.59916487,0.863056194,4602
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,Other accommodation,[x],[x],[x]
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,Semi-detached house,30.31984751,1.426188962,1649
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,accharm3,Terraced house,30.34436568,1.533880774,1567
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,agegrp7,55-64,31.02768338,0.799138894,5367
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,clubno,1-3 times,41.61820648,7.537730354,66
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,clubno,4+ times,13.77957784,10.45798232,12
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,clubno,None,30.92150838,0.810282004,5286
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,depremp19,20% least deprived,34.7100593,1.969495493,858
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,depremp19,20% most deprived,25.72324771,1.520145032,1251
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,depremp19,Deciles 3 - 8,31.63906863,1.086416924,2852
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,educatlvl,Apprenticeship or A/AS level,28.86187136,1.904221859,836
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,educatlvl,Degree or diploma,31.34269798,1.202420775,2353
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,educatlvl,None,31.55341206,2.083567046,797
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,educatlvl,O level/GCSE,29.89815152,1.662926235,1136
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,educatlvl,Other,39.22908754,4.159376135,199
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,East Midlands,37.25240633,2.33976888,545
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,East of England,28.41682698,2.208963122,619
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,England,31.26990449,0.829432542,4961
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,London,27.51138881,2.255820088,587
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,North East,27.66476138,2.951670753,304
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,North West,30.05453495,1.999860399,707
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,South East,36.01130908,2.492602357,617
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,South West,32.42653708,2.693580897,495
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,Wales,27.19044039,2.873397206,406
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,West Midlands,27.13747768,2.35845419,515
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,gor,Yorkshire and The Humber,32.11500493,2.535240517,572
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,illONS,Disability/illness ONS,28.20465594,1.534045882,1460
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,incivgrp,High,27.60185445,3.0919565,294
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,incivgrp,Low,31.28762268,0.826237403,5059
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Cohabiting,28.40783831,2.760993109,368
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Divorced/Legally dissolved partnership,28.86181554,2.141755142,732
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Living as a couple,31.80636819,1.008170566,3045
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Married/civil partnered,32.2407898,1.089246656,2677
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Not living as a couple,28.67356801,1.175712692,2284
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Separated,26.81652196,4.372435807,172
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Single,28.09924404,1.649236177,1099
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,livharm1a,Widowed,31.51406779,3.597406514,281
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,nsethgrp,Asian/Asian British,27.91936371,3.439310827,222
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,nsethgrp,Black/African/Caribbean/Black British,24.29935933,3.6634668,203
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,nsethgrp,Mixed/multiple ethnic groups,27.52795561,6.924596061,57
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,nsethgrp,Other ethnic group,41.96250659,8.728092225,54
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,nsethgrp,White,31.44880187,0.856071307,4814
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Constrained city dwellers,24.52188159,2.442936552,466
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Cosmopolitans,35.1165218,4.854471315,163
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Ethnicity central,26.4268553,3.459910378,275
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Hard-pressed living,30.2779629,1.773410849,1175
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Multicultural metropolitans,27.87253931,2.353969983,619
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Rural residents,33.14761308,1.963663883,748
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Suburbanites,34.22290854,1.742001607,991
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,oa_sup11,Urbanites,30.7904182,1.921612621,930
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,pub3,Less than once a week,32.51401884,1.528118242,1643
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,pub3,None,30.62187578,1.093568834,2903
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,pub3,Once a week or more often,29.42015173,1.900984606,818
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Full-time students,60.03991907,15.75675309,14
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Intermediate occs,33.13796846,1.61153667,1264
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Managerial and professional occs,31.39462853,1.308588644,1980
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Never worked and long term unemployed,30.36011883,4.14887507,196
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Not classified,39.22615235,5.242959309,119
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,r10sec4a,Routine and manual occs,27.93643534,1.382761925,1794
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,remploy2a,Economically inactive,31.32126723,1.342167647,1931
2024,4,catt2a,Person,Perception,England and Wales, ,All people,55-64,remploy2a,Economically inactive: long-term/temp sick/ill,25.96782981,2.009538664,715
